time	x	y	pressure	tiltX	tiltY	azimuth	sidePressure	rotation
0.0	276.0	756.0	0.07034409	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.017	276.0	757.0	0.090852216	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.034	276.0	757.0	0.091340505	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.051000000000000004	275.0	758.0	0.09182879	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.068	273.0	760.0	0.09182879	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.085	272.0	762.0	0.09182879	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.10200000000000001	270.0	763.0	0.09182879	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.11900000000000001	268.0	766.0	0.09231708	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.136	267.0	768.0	0.09280537	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.15300000000000002	265.0	771.0	0.09329366	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.17000000000000004	262.0	776.0	0.09329366	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.18700000000000006	259.0	780.0	0.09329366	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.20400000000000007	256.0	784.0	0.09427024	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.22100000000000009	252.0	792.0	0.09427024	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.2380000000000001	248.0	798.0	0.094758525	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.2550000000000001	245.0	804.0	0.095246814	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.27200000000000013	242.0	810.0	0.09573510000000002	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.28900000000000015	238.0	818.0	0.09573510000000002	1.0471953999999999	1.0472295	0.7854375	0.0	0.0	
0.30600000000000016	235.0	824.0	0.09671168	1.0471953999999999	0.9774142	0.7079764000000001	0.0	0.0	
0.3230000000000002	231.0	833.0	0.098664835	1.0471953999999999	0.94250655	0.6715048000000001	0.0	0.0	
0.3400000000000002	229.0	839.0	0.10110628	1.0471953999999999	0.9075989	0.63643706	0.0	0.0	
0.3570000000000002	226.0	845.0	0.102571145	1.0471953999999999	0.8377836	0.5701984	0.0	0.0	
0.3740000000000002	223.0	854.0	0.10305943	1.0471953999999999	0.80287594	0.53887093	0.0	0.0	
0.39100000000000024	221.0	862.0	0.10354772	1.0471953999999999	0.7679683	0.5086362	0.0	0.0	
0.40800000000000025	218.0	870.0	0.10501259	1.0471953999999999	0.6632454000000001	0.42376542	0.0	0.0	
0.42500000000000027	215.0	881.0	0.10550088	1.0471953999999999	0.6283377	0.39719307	0.0	0.0	
0.4420000000000003	214.0	889.0	0.105989166	1.0471953999999999	0.59343004	0.37137407	0.0	0.0	
0.4590000000000003	212.0	897.0	0.106477454	1.0471953999999999	0.4887071	0.2978619	0.0	0.0	
0.4760000000000003	211.0	905.0	0.106477454	1.0471953999999999	0.45379946	0.2744953	0.0	0.0	
0.4930000000000003	208.0	918.0	0.106477454	1.0471953999999999	0.38398415	0.22917534	0.0	0.0	
0.5100000000000003	207.0	926.0	0.106477454	1.0471953999999999	0.3490765	0.20713232	0.0	0.0	
0.5270000000000004	206.0	939.0	0.106477454	1.0471953999999999	0.24435355	0.14297265	0.0	0.0	
0.5440000000000004	205.0	948.0	0.105989166	1.0471953999999999	0.2094459	0.12211342	0.0	0.0	
0.5610000000000004	204.0	958.0	0.105989166	1.0471953999999999	0.1396306	0.0809668	0.0	0.0	
0.5780000000000004	203.0	968.0	0.106477454	1.0471953999999999	0.0698153	0.040351782	0.0	0.0	
0.5950000000000004	202.0	981.0	0.10696574	1.0471953999999999	-0.0	0.0	0.0	0.0	
0.6120000000000004	202.0	989.0	0.10745403	1.0471953999999999	-0.03487356	-0.0201398	0.0	0.0	
0.6290000000000004	202.0	1003.0	0.10696574	1.0471953999999999	-0.10468886	-0.060589965	0.0	0.0	
0.6460000000000005	202.0	1011.0	0.10745403	1.0471953999999999	-0.13959649999999998	-0.080946855	0.0	0.0	
0.6630000000000005	203.0	1020.0	0.10745403	1.0471953999999999	-0.20941181	-0.12209316	0.0	0.0	
0.6800000000000005	203.0	1027.0	0.10696574	1.0471953999999999	-0.27922709999999995	-0.16404969	0.0	0.0	
0.6970000000000005	204.0	1039.0	0.106477454	1.0471953999999999	-0.31413478	-0.18542306	0.0	0.0	
0.7140000000000005	204.0	1047.0	0.105989166	1.0471953999999999	-0.38395005	-0.22915362	0.0	0.0	
0.7310000000000005	205.0	1055.0	0.10550088	1.0471953999999999	-0.45376536	-0.2744727	0.0	0.0	
0.7480000000000006	206.0	1068.0	0.10550088	1.0471953999999999	-0.48867299999999997	-0.29783884	0.0	0.0	
0.7650000000000006	207.0	1075.0	0.10501259	1.0471953999999999	-0.5235807	-0.32173946	0.0	0.0	
0.7820000000000006	208.0	1083.0	0.09671168	1.0471953999999999	-0.59339595	-0.37134920000000005	0.0	0.0	
0.7990000000000006	210.0	1095.0	0.09182879	1.0471953999999999	-0.6283036	-0.3971675	0.0	0.0	
0.8160000000000006	211.0	1104.0	0.0830396	1.0471953999999999	-0.6981189	-0.4511257000000001	0.0	0.0	
0.8330000000000006	212.0	1113.0	0.04834058	1.0471953999999999	-0.80284184	-0.5388409000000001	0.0	0.0	
0.8500000000000006	212.0	1123.0	0.04834058	1.0471953999999999	-0.8726572	-0.6026621999999999	0.0	0.0	
cluster: 0

